features,label
"[-515.3001098632812, 74.80073547363281, -3.0159316062927246, 16.024477005004883, 2.7152369022369385, -5.088285446166992, -5.437105655670166, -7.728939056396484, -13.592759132385254, -8.39256477355957, 2.1208364963531494, -9.310009956359863, -6.361064434051514, -4.150013446807861, -2.892094135284424, -1.5678579807281494, -8.927753448486328, -6.093628406524658, -4.826635837554932, -6.608494281768799, -7.451457977294922, -1.0989609956741333, -7.80001974105835, -4.527661323547363, -3.672971248626709, -2.1456093788146973, -8.107748031616211, -0.6239476203918457, -7.730286598205566, -2.00636887550354, -6.947749614715576, -2.624875545501709, -3.830357074737549, -0.5448965430259705, -0.42397695779800415, 3.571457862854004, 4.384113311767578, 11.165077209472656, 13.749957084655762, 18.45494842529297]",neutral
"[-496.0451965332031, 35.73463439941406, -31.855445861816406, 0.589641273021698, -17.795696258544922, -21.291133880615234, -17.75823974609375, -18.828245162963867, -31.603458404541016, 0.690947413444519, -14.345587730407715, -7.90183687210083, -10.703278541564941, -13.939976692199707, -5.701507091522217, -11.419912338256836, -7.677000999450684, 15.056038856506348, 19.70547866821289, 23.743974685668945, 28.81881332397461, 11.729350090026855, -0.5087740421295166, -0.0921742394566536, -6.700716018676758, 4.481538772583008, 0.1757349818944931, 0.051312606781721115, -8.750076293945312, -5.562150478363037, -3.4555861949920654, 2.1838693618774414, -6.299898624420166, -5.287103652954102, -7.553654670715332, -0.11497773230075836, 4.314975738525391, -0.7287153005599976, 0.5535889863967896, 8.700023651123047]",neutral
"[-542.7691040039062, 90.80836486816406, -17.97427749633789, 13.956576347351074, -0.07450795918703079, -3.8617911338806152, -21.841154098510742, -9.925713539123535, -16.28916358947754, -6.5180158615112305, 6.587333679199219, -8.830583572387695, 2.2892813682556152, -2.592668056488037, -7.9564056396484375, 1.9979581832885742, -10.702582359313965, -12.426474571228027, -0.20066842436790466, -3.7653255462646484, -9.124053955078125, 3.045729875564575, -11.818041801452637, -5.892673015594482, -3.5899949073791504, -1.3311371803283691, -5.858673572540283, 0.1539781391620636, 0.11108595132827759, -4.714442729949951, -0.6211663484573364, -5.169223785400391, -2.560654640197754, 2.051534652709961, 0.6091743111610413, 9.095108985900879, 6.8112897872924805, 11.923095703125, 13.255708694458008, 18.94767951965332]",neutral
"[-560.7933959960938, 39.16867446899414, -28.033823013305664, 10.051252365112305, -22.978271484375, -17.823253631591797, -8.737464904785156, -27.24135398864746, -7.6857733726501465, -10.980381965637207, -9.617987632751465, -17.076663970947266, -8.039810180664062, -9.344656944274902, -14.919472694396973, -6.878675937652588, -4.080824851989746, 9.898408889770508, 15.367369651794434, 27.08839225769043, 18.479429244995117, 13.18630599975586, -1.1146188974380493, -5.295782089233398, -7.630654335021973, 0.9825182557106018, -2.6496028900146484, -2.5196900367736816, -10.19027042388916, -8.142791748046875, -5.903709888458252, 2.7976887226104736, -5.783296585083008, -5.338188171386719, -4.679317474365234, 1.6011675596237183, 1.2605433464050293, -0.6363046765327454, 1.9227839708328247, 9.433614730834961]",neutral
"[-501.8709411621094, 99.55132293701172, -22.52362823486328, 23.454275131225586, -0.31016212701797485, -13.324186325073242, -0.8110213875770569, -7.556728839874268, -17.92010498046875, 3.341846466064453, -7.960720539093018, -2.3851022720336914, -4.410142421722412, -6.190697193145752, 2.193966865539551, -4.201977252960205, -5.839299201965332, -2.0664234161376953, -5.196135997772217, -5.184140205383301, -9.861872673034668, -0.3264240026473999, -8.163549423217773, -1.6748672723770142, -3.767970561981201, -3.192202568054199, -5.920145511627197, -0.7667253017425537, -5.988564968109131, -2.172586441040039, -5.043618679046631, -2.585991859436035, -2.5596721172332764, -0.30563366413116455, 4.020028591156006, 7.613969802856445, 8.158185958862305, 13.798147201538086, 16.041961669921875, 21.134851455688477]",neutral
"[-519.0783081054688, 51.69089889526367, -16.385448455810547, 8.035062789916992, -12.882356643676758, -23.180164337158203, -22.494598388671875, -11.316146850585938, -17.16335105895996, 3.1552443504333496, -19.00014877319336, -8.331123352050781, -3.8260762691497803, -14.471407890319824, -9.604264259338379, -8.369253158569336, -1.2645516395568848, 11.7625150680542, 18.346172332763672, 24.15469741821289, 20.815839767456055, 9.549287796020508, 1.7067527770996094, -6.519076824188232, -7.1512908935546875, 0.0033755963668227196, -1.6011945009231567, -2.6223227977752686, -9.497218132019043, -9.410676956176758, -5.981078147888184, -0.31991341710090637, -5.442026138305664, -5.457099914550781, -5.745243072509766, 5.14700174331665, 0.7674547433853149, 1.2582478523254395, 2.555605411529541, 9.773439407348633]",neutral
"[-441.61639404296875, 87.97169494628906, -20.3402156829834, 10.834053993225098, -1.9856668710708618, -6.777492046356201, -4.631611347198486, -11.727753639221191, -21.50886344909668, -2.9066779613494873, -6.328436851501465, -8.485779762268066, 7.3987555503845215, -8.2130126953125, -8.791648864746094, 1.4428009986877441, -12.871355056762695, -4.496252536773682, -6.756288528442383, -7.553638458251953, -4.035096645355225, -5.91424036026001, -7.656181812286377, -3.143770694732666, -7.732557773590088, 2.134798049926758, -9.018390655517578, -2.3787918090820312, -9.132664680480957, -2.5883944034576416, -9.20464038848877, -2.0802252292633057, -1.7479780912399292, 0.09166952222585678, 0.5773343443870544, 3.5419580936431885, 7.846865177154541, 12.14085578918457, 19.378976821899414, 25.288164138793945]",neutral
"[-486.9606018066406, 80.36967468261719, -18.358701705932617, 29.243385314941406, -6.767422676086426, -5.0142292976379395, -11.753668785095215, -5.206230163574219, -19.741378784179688, -4.441372394561768, 7.82516622543335, -10.885764122009277, -2.3613908290863037, 1.9435707330703735, -2.755638599395752, 6.930300235748291, -4.767606735229492, -0.8418456315994263, 3.9412803649902344, -5.432480335235596, -9.230185508728027, 6.237276554107666, -9.635984420776367, -5.647536277770996, 3.1480586528778076, -2.639197826385498, -5.384514808654785, 1.9507737159729004, -5.989829063415527, -2.728156805038452, -2.3906261920928955, -4.301877975463867, 1.8048635721206665, 1.859963297843933, 0.6177151799201965, 7.104172229766846, 3.607443332672119, 10.402199745178223, 14.175826072692871, 18.38654899597168]",neutral
"[-506.08575439453125, 17.122203826904297, -27.314369201660156, 3.5888140201568604, -20.719707489013672, -28.715234756469727, -9.611979484558105, -32.63079833984375, -13.929993629455566, 1.3991212844848633, -21.131389617919922, -4.235129356384277, -14.199310302734375, -5.5548272132873535, -13.457719802856445, -13.199862480163574, 5.996906757354736, 7.889199733734131, 20.997621536254883, 28.036945343017578, 20.209814071655273, 11.603544235229492, 0.5214648842811584, -1.0439296960830688, -8.088452339172363, 4.494668483734131, -4.358785152435303, 0.2498501092195511, -9.897680282592773, -5.971442699432373, -6.818032264709473, 0.05284814164042473, -1.8465684652328491, -4.948445796966553, -2.061229705810547, 2.231020450592041, 2.518918752670288, 1.6720759868621826, 0.9658578038215637, 8.694839477539062]",neutral
"[-459.9729309082031, 97.0639877319336, -10.90317440032959, 7.213187217712402, 5.740605354309082, -12.825493812561035, -15.862383842468262, 1.876873254776001, -30.820842742919922, -16.107194900512695, 6.9883646965026855, -12.382502555847168, -5.487771511077881, -3.879476547241211, -7.0771098136901855, -6.326915740966797, -10.722383499145508, -8.126970291137695, -4.458207130432129, -6.810789108276367, -7.740728378295898, -9.845417976379395, -3.1918411254882812, -12.9212064743042, -5.175327777862549, -8.018060684204102, -9.995410919189453, -4.135504722595215, -9.663390159606934, -0.047948457300662994, -8.8991060256958, -7.683197975158691, -3.545225143432617, -2.3721535205841064, -1.5489091873168945, 4.1436333656311035, 4.554845333099365, 11.482390403747559, 10.973196029663086, 21.675724029541016]",neutral
"[-429.5416564941406, 24.18177032470703, -17.942344665527344, -10.255804061889648, -20.015031814575195, -22.079418182373047, -13.949227333068848, -13.351574897766113, -34.18415832519531, -4.104191780090332, -9.599740982055664, -19.248287200927734, -11.136621475219727, -9.643513679504395, -5.758153915405273, -13.359667778015137, -4.067426681518555, 16.23209571838379, 16.26807975769043, 30.84637451171875, 24.57190704345703, 14.790961265563965, -3.5544028282165527, 1.776259422302246, -13.690377235412598, 2.803858518600464, 1.9513795375823975, -0.8032068014144897, -9.036985397338867, -2.836080551147461, -4.9376420974731445, 1.4927921295166016, -5.674077033996582, -5.09526252746582, -2.913844585418701, 2.1664862632751465, 3.351949453353882, -0.07692912220954895, -0.5653415322303772, 13.219048500061035]",neutral
"[-493.17950439453125, 84.81220245361328, -22.30880355834961, 9.62301254272461, 24.866735458374023, -11.776984214782715, -7.186533451080322, -13.0451078414917, -17.428926467895508, -8.518525123596191, 3.1352128982543945, -4.869643211364746, 0.7587541937828064, -4.394562721252441, -5.993903160095215, 8.278169631958008, -13.600472450256348, -2.288877248764038, -5.407752513885498, 0.4290141761302948, -6.137662887573242, -3.438185930252075, -6.847291469573975, -2.0785152912139893, -5.080665111541748, 1.0606595277786255, -8.726728439331055, 0.4216611385345459, -6.052894115447998, -2.7616453170776367, -5.349181175231934, -3.344827890396118, -6.763838291168213, -0.7567819356918335, -2.410081148147583, 3.412815570831299, 7.892362117767334, 16.429201126098633, 16.582828521728516, 25.136314392089844]",neutral
"[-538.7455444335938, 43.049373626708984, -26.523426055908203, -10.474981307983398, -27.950111389160156, -22.33301544189453, -19.08721923828125, -19.24581527709961, -21.839792251586914, -8.10900592803955, -7.593175411224365, -1.4039883613586426, -13.007134437561035, -0.642714262008667, 0.1000327467918396, -12.11385440826416, 5.236095428466797, 8.397273063659668, 15.27685546875, 22.84236717224121, 19.17462730407715, 10.001887321472168, 4.181885242462158, -2.643911123275757, -3.731309175491333, 0.902096688747406, -0.3679811358451843, -0.7281851172447205, -7.114058017730713, -6.872908592224121, -4.998415946960449, -0.7628429532051086, -2.8553967475891113, -2.1276204586029053, -1.847021222114563, 3.3150229454040527, 2.4289445877075195, 1.2130775451660156, 0.6527361273765564, 10.563105583190918]",neutral
"[-485.5273132324219, 71.1910629272461, -23.24176025390625, 15.829132080078125, 0.09964288771152496, -7.884297847747803, -17.785009384155273, -10.122462272644043, -26.822158813476562, -5.143760681152344, -1.3429021835327148, -9.164031982421875, -6.211167335510254, -9.810447692871094, -4.192694664001465, -0.3191189765930176, -16.275423049926758, -8.557412147521973, -3.920980215072632, -8.776851654052734, -14.47158432006836, -2.7509689331054688, -14.059281349182129, -9.628626823425293, -3.5493805408477783, -7.918946266174316, -7.43018913269043, -1.317777395248413, -9.371244430541992, -2.7357845306396484, -8.279306411743164, -8.112388610839844, -4.635251045227051, -4.783919811248779, -0.38280850648880005, 3.9885470867156982, 5.927229404449463, 7.220089435577393, 12.698141098022461, 17.922101974487305]",neutral
"[-464.917236328125, 44.259666442871094, -40.94234085083008, 10.87357234954834, -24.51848602294922, -13.271408081054688, -4.6822638511657715, -26.928077697753906, -11.10002613067627, -5.364578723907471, -9.917457580566406, -8.497408866882324, -13.737936019897461, 6.069259166717529, -17.711767196655273, -5.782261371612549, -1.3722946643829346, 7.42816686630249, 13.919538497924805, 24.167531967163086, 14.576743125915527, 9.350210189819336, 3.2808330059051514, -5.284142971038818, -2.8874399662017822, -1.1054342985153198, -1.9223183393478394, 1.5189343690872192, -2.9855453968048096, -6.510838985443115, -6.278158187866211, 1.3904001712799072, -1.0544559955596924, -4.387527942657471, -4.232431888580322, 1.2648181915283203, 0.4226003587245941, 1.7365694046020508, 0.8897112607955933, 8.282086372375488]",neutral
"[-426.3528137207031, 73.03297424316406, -24.7576904296875, 20.975372314453125, -11.845816612243652, -10.466078758239746, -23.937620162963867, -12.44404411315918, -10.575862884521484, -15.872783660888672, 2.760011911392212, -6.976384162902832, -9.517376899719238, -1.9748574495315552, -10.299311637878418, -1.1445026397705078, -8.478106498718262, -2.840197801589966, -3.6396117210388184, -6.613500118255615, -8.354400634765625, -4.226835250854492, -5.0339250564575195, -6.005827903747559, -2.7970986366271973, -2.4573616981506348, -3.909184217453003, -2.6822633743286133, -3.40744948387146, -5.0203657150268555, -2.978116512298584, -2.607726812362671, -4.31903076171875, 0.8359262943267822, 2.073742389678955, 4.39914608001709, 5.6112165451049805, 7.524957656860352, 12.59101390838623, 17.657529830932617]",neutral
"[-511.0480651855469, 45.558067321777344, -32.1516227722168, 11.638944625854492, -23.0865535736084, -19.340913772583008, -13.743751525878906, -28.871313095092773, -9.243398666381836, -8.255786895751953, -14.36800765991211, -13.666291236877441, -14.536748886108398, -3.981715679168701, -22.347145080566406, -7.757099628448486, -6.415380954742432, 4.149598121643066, 18.171058654785156, 23.066984176635742, 18.449928283691406, 13.937531471252441, -3.6489601135253906, -1.5364893674850464, -9.51968765258789, 0.4818485379219055, -2.9256558418273926, -1.6015806198120117, -8.08220386505127, -9.45770263671875, -4.220619201660156, 3.1051087379455566, -3.5023915767669678, -6.33228063583374, -6.422726154327393, 1.5425664186477661, 1.8800084590911865, 1.835878849029541, 1.553534746170044, 10.385064125061035]",neutral
"[-526.0218505859375, 94.521240234375, -18.5025577545166, 23.31062126159668, -3.210523843765259, -22.578060150146484, -9.172499656677246, -10.537725448608398, -17.8106746673584, 2.763449192047119, -1.7372994422912598, -7.824294090270996, -4.102428436279297, -4.368717670440674, -8.403993606567383, 5.506566524505615, -14.910736083984375, 1.2277413606643677, -2.439429759979248, -7.758744716644287, -4.254234313964844, -4.202887535095215, -9.97714614868164, -1.694996953010559, -2.5763416290283203, -2.5042574405670166, -4.3555450439453125, -0.6854314804077148, -6.919848918914795, -2.3188350200653076, -6.183882236480713, -0.5833781361579895, -1.8112984895706177, 0.7053942084312439, 4.443703651428223, 4.736400127410889, 6.1899495124816895, 10.252788543701172, 16.525875091552734, 21.5804386138916]",neutral
"[-538.5177612304688, 48.106040954589844, -30.44858741760254, 8.520163536071777, -18.309999465942383, -30.81277847290039, -6.48713493347168, -27.543006896972656, -10.506118774414062, -0.9026235938072205, -10.532315254211426, -7.7377824783325195, -12.31938648223877, -4.2806396484375, -19.542570114135742, -13.640061378479004, -2.9573702812194824, 3.781461715698242, 24.65841293334961, 26.979690551757812, 28.063072204589844, 16.519201278686523, 1.8963820934295654, -2.005134105682373, -8.433917999267578, 4.251429557800293, 1.6561846733093262, -0.8139275312423706, -8.316000938415527, -3.9686405658721924, -4.110560894012451, 6.19877815246582, -1.5286489725112915, -1.6782175302505493, -3.9008517265319824, 8.182579040527344, 4.561392784118652, 1.4178955554962158, 5.962184429168701, 17.958585739135742]",neutral
"[-536.6896362304688, 83.2468490600586, -31.255552291870117, 19.861560821533203, 2.4061222076416016, -21.63213348388672, -6.463010787963867, -21.38717269897461, -11.637543678283691, -0.2821073532104492, -9.593960762023926, -4.241527557373047, 2.00303053855896, -13.595791816711426, -3.625645637512207, -1.5997716188430786, -17.00853729248047, 0.05071152746677399, -10.154815673828125, -9.057371139526367, -6.396234512329102, -5.003061294555664, -8.787653923034668, -6.144070148468018, -8.169294357299805, 1.5305014848709106, -7.521633625030518, -0.15551899373531342, -4.613388538360596, -4.449475288391113, -7.343804359436035, -0.3761296272277832, -2.557312250137329, 0.415110319852829, 3.499100923538208, 3.1135966777801514, 5.269263744354248, 9.954779624938965, 13.230417251586914, 17.730562210083008]",neutral
"[-496.7009582519531, 44.50515365600586, -30.75691032409668, 1.6071515083312988, -12.857462882995605, -28.924556732177734, 1.1631314754486084, -33.34474182128906, -7.923904895782471, -6.987812042236328, -6.753266334533691, -10.39284610748291, -7.601779460906982, -3.3122971057891846, -7.843450546264648, -9.661158561706543, 3.0763683319091797, 14.215829849243164, 26.85822868347168, 38.998008728027344, 29.43630027770996, 21.251562118530273, 4.17103385925293, -1.046722412109375, -4.357870101928711, 4.516343116760254, 2.7620861530303955, 0.8558961749076843, -8.564687728881836, -4.199557304382324, -3.221100330352783, 4.04802131652832, -1.1689567565917969, -3.2245771884918213, -3.9237682819366455, 3.5452382564544678, 1.6625486612319946, 3.2770957946777344, 4.724240303039551, 14.323348045349121]",neutral
"[-573.42236328125, 100.89136505126953, -18.888694763183594, 4.596630096435547, -0.2849510908126831, -11.53262996673584, -18.808677673339844, -18.5471248626709, -16.693193435668945, -4.261621475219727, -16.115583419799805, -17.28630256652832, 0.9766170978546143, -1.289056420326233, -20.720497131347656, 0.36656779050827026, -1.6055009365081787, -7.763662338256836, -6.64836311340332, -2.3489201068878174, -11.851212501525879, -3.295677661895752, -9.924043655395508, -4.976728916168213, -6.665914058685303, -3.5943734645843506, -8.738962173461914, -3.1477198600769043, -6.314248561859131, -4.937158107757568, -4.95932149887085, -3.2325057983398438, -2.5890700817108154, -3.678102731704712, 0.8328925967216492, 4.671189308166504, 5.761258602142334, 13.050480842590332, 13.020919799804688, 20.516477584838867]",neutral
"[-397.4925231933594, 41.319149017333984, -26.685596466064453, 4.738623142242432, -15.93390941619873, -29.66282844543457, -12.385663032531738, -30.89838218688965, -23.618532180786133, -7.516628742218018, -7.967881202697754, -20.92803192138672, -7.155970573425293, -12.155828475952148, -4.7629570960998535, -8.385772705078125, 0.6078916192054749, 13.287354469299316, 24.643964767456055, 25.190975189208984, 23.776714324951172, 17.743045806884766, -6.492131233215332, 2.7194976806640625, -7.947680473327637, 1.2891007661819458, 1.0935641527175903, 2.0216288566589355, -7.417835712432861, -9.942399024963379, -1.4090577363967896, -3.8152475357055664, 0.3360363245010376, -2.7898995876312256, -6.5356364250183105, 6.233740329742432, -1.8596322536468506, 2.1566121578216553, 0.4522651433944702, 11.225028991699219]",neutral
"[-535.7689819335938, 82.36149597167969, 3.4472122192382812, 7.997805595397949, 3.640002965927124, -3.6499626636505127, -2.434619188308716, -6.88814115524292, -13.1770658493042, -9.24081802368164, 2.8342339992523193, -7.5071868896484375, -6.621608257293701, -3.473099708557129, -3.3452224731445312, 0.26924630999565125, -10.015342712402344, -4.6149067878723145, -4.839145183563232, -5.658007621765137, -7.886110305786133, -2.061133861541748, -8.477696418762207, -4.457980632781982, -3.2532131671905518, -1.3864445686340332, -9.20396900177002, -0.07085418701171875, -6.637520790100098, -1.212918996810913, -5.310337543487549, -2.03593373298645, -3.601285696029663, -1.764973759651184, -1.7709980010986328, 2.976252794265747, 5.326432704925537, 12.122255325317383, 16.540979385375977, 20.540725708007812]",neutral
"[-487.4292297363281, 39.0609130859375, -30.369142532348633, 2.1267893314361572, -13.750029563903809, -21.17825698852539, -16.355947494506836, -16.798934936523438, -29.119857788085938, 1.530483365058899, -10.881518363952637, -6.309665203094482, -9.250259399414062, -10.676911354064941, -1.6228325366973877, -10.296295166015625, -5.814672470092773, 19.246280670166016, 21.932491302490234, 27.058574676513672, 28.561986923217773, 14.429993629455566, -0.21556414663791656, 1.2249274253845215, -5.750461101531982, 5.050974369049072, 1.5418281555175781, 1.8265631198883057, -8.188286781311035, -3.183722972869873, -4.61129903793335, 2.4275875091552734, -5.234552383422852, -3.9001893997192383, -4.639162063598633, 1.9776362180709839, 5.003040313720703, 0.4822827875614166, 1.5460740327835083, 7.773951053619385]",neutral
"[-536.5396118164062, 86.47427368164062, -23.377674102783203, 14.996540069580078, -2.550410747528076, -5.3670973777771, -22.41888427734375, -8.953479766845703, -15.617685317993164, -9.387484550476074, 6.7157182693481445, -10.955694198608398, 3.3216865062713623, -4.90959358215332, -9.787510871887207, 3.5514111518859863, -10.800605773925781, -9.964963912963867, -1.2984488010406494, -6.67303466796875, -10.332271575927734, 2.369313955307007, -10.820317268371582, -5.277907371520996, -3.302147388458252, -0.6229763031005859, -6.393640041351318, -2.292261838912964, -2.5426697731018066, -5.309731960296631, -1.9433304071426392, -3.2747914791107178, -5.208113193511963, 1.776932716369629, -1.8614673614501953, 7.523933410644531, 5.248122215270996, 11.458672523498535, 14.385415077209473, 19.202606201171875]",neutral
"[-535.6531982421875, 39.76930618286133, -32.02467727661133, 6.6633453369140625, -25.16303062438965, -17.99604606628418, -10.393977165222168, -29.71381950378418, -5.238346576690674, -13.322613716125488, -10.491670608520508, -19.017261505126953, -10.053065299987793, -10.766365051269531, -15.44991397857666, -7.222214698791504, -4.867067337036133, 9.845827102661133, 14.780896186828613, 27.97415542602539, 18.41826820373535, 12.535524368286133, -1.8807876110076904, -6.451421737670898, -9.499069213867188, 2.6386635303497314, -4.484015464782715, -3.399265766143799, -10.462139129638672, -8.345780372619629, -5.979425430297852, 2.4603493213653564, -6.586147785186768, -3.79605770111084, -3.6288180351257324, 1.7226176261901855, 2.418308734893799, -0.30760782957077026, 3.571474313735962, 9.569260597229004]",neutral
